mutantId,project,package,path,filename,class,method,eventType,originalExp,mutatedExp,startLine,endLine,sourceCodeLocation,evaluationResult
12,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,COR,"&&(boolean,boolean)","TRUE(boolean,boolean)",74,81,75,dateType != Date.class && dateType != java.sql.Date.class |==> true
13,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,COR,"&&(boolean,boolean)","||(boolean,boolean)",74,81,75,dateType != Date.class && dateType != java.sql.Date.class |==> dateType != Date.class || dateType != java.sql.Date.class
14,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,ROR,"!=(java.lang.Object,java.lang.Object)","==(java.lang.Object,java.lang.Object)",74,81,75,dateType != Timestamp.class |==> dateType == Timestamp.class
15,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,ROR,"!=(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",74,81,75,dateType != Timestamp.class |==> false
16,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,ROR,"!=(java.lang.Object,java.lang.Object)","TRUE(java.lang.Object,java.lang.Object)",74,81,75,dateType != Timestamp.class |==> true
17,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,COR,"&&(boolean,boolean)","!=(boolean,boolean)",74,81,75,dateType != Date.class && dateType != java.sql.Date.class && dateType != Timestamp.class |==> (dateType != Date.class && dateType != java.sql.Date.class) != (dateType != Timestamp.class)
18,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,COR,"&&(boolean,boolean)","==(boolean,boolean)",74,81,75,dateType != Date.class && dateType != java.sql.Date.class && dateType != Timestamp.class |==> (dateType != Date.class && dateType != java.sql.Date.class) == (dateType != Timestamp.class)
19,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,COR,"&&(boolean,boolean)","FALSE(boolean,boolean)",74,81,75,dateType != Date.class && dateType != java.sql.Date.class && dateType != Timestamp.class |==> false
20,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,COR,"&&(boolean,boolean)","LHS(boolean,boolean)",74,81,75,dateType != Date.class && dateType != java.sql.Date.class && dateType != Timestamp.class |==> dateType != Date.class && dateType != java.sql.Date.class
21,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,COR,"&&(boolean,boolean)","RHS(boolean,boolean)",74,81,75,dateType != Date.class && dateType != java.sql.Date.class && dateType != Timestamp.class |==> dateType != Timestamp.class
22,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,COR,"&&(boolean,boolean)","TRUE(boolean,boolean)",74,81,75,dateType != Date.class && dateType != java.sql.Date.class && dateType != Timestamp.class |==> true
23,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,COR,"&&(boolean,boolean)","||(boolean,boolean)",74,81,75,dateType != Date.class && dateType != java.sql.Date.class && dateType != Timestamp.class |==> dateType != Date.class && dateType != java.sql.Date.class || dateType != Timestamp.class
24,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,LVR,<CLASS>,<EMPTY>,74,81,76,"""Date type must be one of "" |==> """""
25,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,LVR,<CLASS>,<EMPTY>,74,81,76,""", "" |==> """""
26,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,LVR,<CLASS>,<EMPTY>,74,81,76,""", or "" |==> """""
27,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,LVR,<CLASS>,<EMPTY>,74,81,76,""" but was "" |==> """""
28,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,EVR,<IDENTIFIER(java.lang.Class<capture#547 of ? extends java.util.Date>)>,<DEFAULT>,74,81,78,dateType |==> null
29,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,EVR,<IDENTIFIER(java.text.DateFormat)>,<DEFAULT>,74,81,79,enUsFormat |==> null
30,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,EVR,<IDENTIFIER(java.text.DateFormat)>,<DEFAULT>,74,81,80,localFormat |==> null
31,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,write,ROR,"==(java.lang.Object,java.lang.Object)","!=(java.lang.Object,java.lang.Object)",85,95,87,value == null |==> value != null
32,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,write,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",85,95,87,value == null |==> false
33,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,write,ROR,"==(java.lang.Object,java.lang.Object)","TRUE(java.lang.Object,java.lang.Object)",85,95,87,value == null |==> true
34,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,write,STD,<CALL>,<NO-OP>,85,95,88,out.nullValue(); |==> <NO-OP>
35,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,write,STD,<RETURN>,<NO-OP>,85,95,89,return; |==> <NO-OP>
36,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,write,EVR,<METHOD_INVOCATION(java.lang.String)>,<DEFAULT>,85,95,92,enUsFormat.format(value) |==> null
37,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,write,STD,<CALL>,<NO-OP>,85,95,93,out.value(dateFormatAsString); |==> <NO-OP>
38,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,ROR,"==(java.lang.Object,java.lang.Object)","!=(java.lang.Object,java.lang.Object)",97,114,99,in.peek() == JsonToken.NULL |==> in.peek() != JsonToken.NULL
39,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",97,114,99,in.peek() == JsonToken.NULL |==> false
40,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,ROR,"==(java.lang.Object,java.lang.Object)","TRUE(java.lang.Object,java.lang.Object)",97,114,99,in.peek() == JsonToken.NULL |==> true
41,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,STD,<CALL>,<NO-OP>,97,114,100,in.nextNull(); |==> <NO-OP>
42,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,STD,<RETURN>,<NO-OP>,97,114,101,return null; |==> <NO-OP>
43,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,EVR,<METHOD_INVOCATION(java.util.Date)>,<DEFAULT>,97,114,103,deserializeToDate(in.nextString()) |==> null
44,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,ROR,"==(java.lang.Object,java.lang.Object)","!=(java.lang.Object,java.lang.Object)",97,114,104,dateType == Date.class |==> dateType != Date.class
45,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",97,114,104,dateType == Date.class |==> false
46,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,ROR,"==(java.lang.Object,java.lang.Object)","TRUE(java.lang.Object,java.lang.Object)",97,114,104,dateType == Date.class |==> true
47,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,EVR,<IDENTIFIER(java.util.Date)>,<DEFAULT>,97,114,105,date |==> null
48,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,ROR,"==(java.lang.Object,java.lang.Object)","!=(java.lang.Object,java.lang.Object)",97,114,106,dateType == Timestamp.class |==> dateType != Timestamp.class
49,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",97,114,106,dateType == Timestamp.class |==> false
50,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,ROR,"==(java.lang.Object,java.lang.Object)","TRUE(java.lang.Object,java.lang.Object)",97,114,106,dateType == Timestamp.class |==> true
51,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,EVR,<NEW_CLASS(java.sql.Timestamp)>,<DEFAULT>,97,114,107,new Timestamp(date.getTime()) |==> null
52,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,ROR,"==(java.lang.Object,java.lang.Object)","!=(java.lang.Object,java.lang.Object)",97,114,108,dateType == java.sql.Date.class |==> dateType != java.sql.Date.class
53,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",97,114,108,dateType == java.sql.Date.class |==> false
54,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,ROR,"==(java.lang.Object,java.lang.Object)","TRUE(java.lang.Object,java.lang.Object)",97,114,108,dateType == java.sql.Date.class |==> true
55,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,read,EVR,<NEW_CLASS(java.sql.Date)>,<DEFAULT>,97,114,109,new java.sql.Date(date.getTime()) |==> null
56,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,deserializeToDate,LVR,0,POS,116,130,125,0 |==> 1
57,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,deserializeToDate,LVR,0,NEG,116,130,125,0 |==> -1
58,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,toString,EVR,<NEW_CLASS(java.lang.StringBuilder)>,<DEFAULT>,132,138,134,new StringBuilder() |==> null
59,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,toString,STD,<CALL>,<NO-OP>,132,138,135,sb.append(SIMPLE_NAME); |==> <NO-OP>
60,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,toString,STD,<CALL>,<NO-OP>,132,138,136,sb.append('(').append(localFormat.getClass().getSimpleName()).append(')'); |==> <NO-OP>
61,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,toString,EVR,<METHOD_INVOCATION(java.lang.String)>,<DEFAULT>,132,138,137,sb.toString() |==> null
62,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,TypeAdapter.java,TypeAdapter,toJson,EVR,<NEW_CLASS(com.google.gson.stream.JsonWriter)>,<DEFAULT>,140,143,141,new JsonWriter(out) |==> null
63,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,TypeAdapter.java,TypeAdapter,toJson,STD,<CALL>,<NO-OP>,140,143,142,"write(writer, value); |==> <NO-OP>"
75,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,TypeAdapter.java,TypeAdapter,toJson,EVR,<NEW_CLASS(java.io.StringWriter)>,<DEFAULT>,214,222,215,new StringWriter() |==> null
76,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,TypeAdapter.java,TypeAdapter,toJson,STD,<CALL>,<NO-OP>,214,222,217,"toJson(stringWriter, value); |==> <NO-OP>"
77,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,TypeAdapter.java,TypeAdapter,toJson,EVR,<METHOD_INVOCATION(java.lang.String)>,<DEFAULT>,214,222,221,stringWriter.toString() |==> null
78,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,TypeAdapter.java,TypeAdapter,toJsonTree,EVR,<NEW_CLASS(com.google.gson.internal.bind.JsonTreeWriter)>,<DEFAULT>,231,239,233,new JsonTreeWriter() |==> null
79,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,TypeAdapter.java,TypeAdapter,toJsonTree,STD,<CALL>,<NO-OP>,231,239,234,"write(jsonWriter, value); |==> <NO-OP>"
80,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,TypeAdapter.java,TypeAdapter,toJsonTree,EVR,<METHOD_INVOCATION(com.google.gson.JsonElement)>,<DEFAULT>,231,239,235,jsonWriter.get() |==> null
81,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,TypeAdapter.java,TypeAdapter,fromJson,EVR,<NEW_CLASS(com.google.gson.stream.JsonReader)>,<DEFAULT>,258,261,259,new JsonReader(in) |==> null
82,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,TypeAdapter.java,TypeAdapter,fromJson,EVR,<METHOD_INVOCATION(T)>,<DEFAULT>,258,261,260,read(reader) |==> null
83,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,TypeAdapter.java,TypeAdapter,fromJson,EVR,<METHOD_INVOCATION(T)>,<DEFAULT>,272,274,273,fromJson(new StringReader(json)) |==> null
84,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,TypeAdapter.java,TypeAdapter,fromJsonTree,EVR,<NEW_CLASS(com.google.gson.internal.bind.JsonTreeReader)>,<DEFAULT>,282,289,284,new JsonTreeReader(jsonTree) |==> null
132,Gson-18,com.google.gson.stream,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson/stream,JsonWriter.java,JsonWriter,<init>,ROR,"==(java.lang.Object,java.lang.Object)","!=(java.lang.Object,java.lang.Object)",197,202,198,out == null |==> out != null
133,Gson-18,com.google.gson.stream,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson/stream,JsonWriter.java,JsonWriter,<init>,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",197,202,198,out == null |==> false
134,Gson-18,com.google.gson.stream,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson/stream,JsonWriter.java,JsonWriter,<init>,ROR,"==(java.lang.Object,java.lang.Object)","TRUE(java.lang.Object,java.lang.Object)",197,202,198,out == null |==> true
135,Gson-18,com.google.gson.stream,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson/stream,JsonWriter.java,JsonWriter,<init>,LVR,<CLASS>,<EMPTY>,197,202,199,"""out == null"" |==> """""
136,Gson-18,com.google.gson.stream,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson/stream,JsonWriter.java,JsonWriter,<init>,EVR,<IDENTIFIER(java.io.Writer)>,<DEFAULT>,197,202,201,out |==> null
137,Gson-18,com.google.gson.stream,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson/stream,JsonWriter.java,JsonWriter,setIndent,LVR,0,POS,212,220,213,0 |==> 1
138,Gson-18,com.google.gson.stream,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson/stream,JsonWriter.java,JsonWriter,setIndent,LVR,0,NEG,212,220,213,0 |==> -1
139,Gson-18,com.google.gson.stream,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson/stream,JsonWriter.java,JsonWriter,setIndent,ROR,"==(int,int)","!=(int,int)",212,220,213,indent.length() == 0 |==> indent.length() != 0
140,Gson-18,com.google.gson.stream,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson/stream,JsonWriter.java,JsonWriter,setIndent,ROR,"==(int,int)","<(int,int)",212,220,213,indent.length() == 0 |==> indent.length() < 0
141,Gson-18,com.google.gson.stream,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson/stream,JsonWriter.java,JsonWriter,setIndent,ROR,"==(int,int)","<=(int,int)",212,220,213,indent.length() == 0 |==> indent.length() <= 0
142,Gson-18,com.google.gson.stream,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson/stream,JsonWriter.java,JsonWriter,setIndent,ROR,"==(int,int)",">(int,int)",212,220,213,indent.length() == 0 |==> indent.length() > 0
143,Gson-18,com.google.gson.stream,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson/stream,JsonWriter.java,JsonWriter,setIndent,ROR,"==(int,int)",">=(int,int)",212,220,213,indent.length() == 0 |==> indent.length() >= 0
144,Gson-18,com.google.gson.stream,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson/stream,JsonWriter.java,JsonWriter,setIndent,ROR,"==(int,int)","FALSE(int,int)",212,220,213,indent.length() == 0 |==> false
145,Gson-18,com.google.gson.stream,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson/stream,JsonWriter.java,JsonWriter,setIndent,ROR,"==(int,int)","TRUE(int,int)",212,220,213,indent.length() == 0 |==> true
146,Gson-18,com.google.gson.stream,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson/stream,JsonWriter.java,JsonWriter,setIndent,STD,<ASSIGN>,<NO-OP>,212,220,214,this.indent = null; |==> <NO-OP>
